Date ID,Date (YYYY/MM/DD),Hour (24:00),Brisbane Wind Direction (degN),Gladstone Wind Direction (degN),Brisbane Wind Speed Km/h,Gladstone Wind Speed Km/h,Brisbane Wind Std Deviation Km/h,Gladstone Wind Std Deviation Km/h
5067,2022-07-31,02:00:00,210,132,2.1600000858306885,12.6,1.4400000214576723,2.8800000429153445
5068,2022-07-31,03:00:00,215,136,0.7200000107288361,12.240000343322754,1.0800000429153442,3.2399999141693114
5069,2022-07-31,04:00:00,200,131,2.1600000858306885,14.4,1.4400000214576723,3.2399999141693114
5070,2022-07-31,05:00:00,218,129,1.0800000429153442,13.679999828338623,1.0800000429153442,2.8800000429153445
5071,2022-07-31,06:00:00,220,126,1.0800000429153442,13.679999828338623,1.0800000429153442,2.8800000429153445
5072,2022-07-31,07:00:00,210,128,0.7200000107288361,15.480000686645509,1.0800000429153442,3.2399999141693114
5073,2022-07-31,08:00:00,225,127,0.7200000107288361,16.2,1.0800000429153442,3.9600000858306887
5074,2022-07-31,09:00:00,208,112,1.4400000214576723,21.6,1.4400000214576723,4.320000171661377
5075,2022-07-31,10:00:00,217,103,0.36000000536441806,22.319999313354494,0.7200000107288361,3.9600000858306887
5076,2022-07-31,11:00:00,353,101,3.2399999141693114,23.400000000000002,1.8,3.9600000858306887
5077,2022-07-31,12:00:00,7,93,5.4,28.440000343322755,2.519999957084656,4.679999828338623
5078,2022-07-31,13:00:00,38,86,4.679999828338623,24.480000686645507,2.8800000429153445,4.320000171661377
5079,2022-07-31,14:00:00,23,95,4.679999828338623,20.88000068664551,2.519999957084656,3.9600000858306887
5080,2022-07-31,15:00:00,45,102,3.9600000858306887,24.480000686645507,2.8800000429153445,3.9600000858306887
5081,2022-07-31,16:00:00,52,99,2.1600000858306885,20.159999656677247,2.1600000858306885,3.2399999141693114
5082,2022-07-31,17:00:00,66,106,2.1600000858306885,18,1.8,3.2399999141693114
5083,2022-07-31,18:00:00,59,123,1.8,13.320000171661377,1.4400000214576723,2.8800000429153445
5084,2022-07-31,19:00:00,17,123,1.4400000214576723,12.240000343322754,1.0800000429153442,2.8800000429153445
5085,2022-07-31,20:00:00,212,110,1.4400000214576723,15.480000686645509,0.7200000107288361,2.8800000429153445
5086,2022-07-31,21:00:00,213,105,1.0800000429153442,16.2,0.7200000107288361,3.2399999141693114
5087,2022-07-31,22:00:00,78,104,0.36000000536441806,16.91999931335449,0.7200000107288361,2.519999957084656
5088,2022-07-31,23:00:00,217,105,1.0800000429153442,12.240000343322754,0.7200000107288361,2.1600000858306885
5089,2022-08-01,00:00:00,241,161,0.7200000107288361,3.6,0.7200000107288361,1.8
5090,2022-08-01,01:00:00,127,221,0.36000000536441806,3.9600000858306887,1.0800000429153442,1.0800000429153442
5091,2022-08-01,02:00:00,175,230,0.7200000107288361,5.4,0.7200000107288361,1.4400000214576723
5092,2022-08-01,03:00:00,221,123,0.7200000107288361,7.9200001716613775,0.7200000107288361,1.8
5093,2022-08-01,04:00:00,239,121,0.36000000536441806,9,0.7200000107288361,1.8
5094,2022-08-01,05:00:00,206,226,2.1600000858306885,3.6,1.4400000214576723,1.4400000214576723
5095,2022-08-01,06:00:00,196,238,1.4400000214576723,7.2,1.0800000429153442,1.4400000214576723
5096,2022-08-01,07:00:00,220,228,0.7200000107288361,4.679999828338623,1.0800000429153442,1.4400000214576723
5097,2022-08-01,08:00:00,212,111,1.8,7.559999656677246,1.4400000214576723,1.8
5098,2022-08-01,09:00:00,223,107,1.0800000429153442,15.480000686645509,1.0800000429153442,2.519999957084656
5099,2022-08-01,10:00:00,52,103,0.36000000536441806,14.759999656677246,1.0800000429153442,2.519999957084656
5100,2022-08-01,11:00:00,38,92,1.4400000214576723,16.91999931335449,1.4400000214576723,2.8800000429153445
5101,2022-08-01,12:00:00,111,97,1.0800000429153442,15.119999313354493,1.0800000429153442,2.8800000429153445
5102,2022-08-01,13:00:00,123,94,0.7200000107288361,15.840000343322755,1.0800000429153442,2.8800000429153445
5103,2022-08-01,14:00:00,345,95,5.4,12.6,2.8800000429153445,2.1600000858306885
5104,2022-08-01,15:00:00,358,97,2.8800000429153445,14.4,1.8,2.519999957084656
5105,2022-08-01,16:00:00,10,103,2.8800000429153445,12.959999656677246,1.4400000214576723,2.1600000858306885
5106,2022-08-01,17:00:00,17,105,3.2399999141693114,9.720000171661377,1.4400000214576723,1.4400000214576723
5107,2022-08-01,18:00:00,4,98,3.9600000858306887,12.240000343322754,1.4400000214576723,1.8
5108,2022-08-01,19:00:00,344,106,1.8,13.320000171661377,1.0800000429153442,2.1600000858306885
5109,2022-08-01,20:00:00,233,122,0.36000000536441806,9.359999656677246,0.7200000107288361,1.8
5110,2022-08-01,21:00:00,342,211,0,3.2399999141693114,0.7200000107288361,1.0800000429153442
5111,2022-08-01,22:00:00,6,246,0.7200000107288361,4.320000171661377,0.7200000107288361,0.7200000107288361
5112,2022-08-01,23:00:00,278,237,0.36000000536441806,3.6,0.7200000107288361,0.7200000107288361
5113,2022-08-02,00:00:00,224,130,1.0800000429153442,2.519999957084656,0.7200000107288361,0.7200000107288361
5114,2022-08-02,01:00:00,199,209,1.4400000214576723,2.519999957084656,0.7200000107288361,1.0800000429153442
5115,2022-08-02,02:00:00,210,253,1.4400000214576723,3.2399999141693114,0.7200000107288361,0.7200000107288361
5116,2022-08-02,03:00:00,210,237,0.7200000107288361,3.9600000858306887,0.7200000107288361,0.7200000107288361
5117,2022-08-02,04:00:00,258,245,0.7200000107288361,2.8800000429153445,0.7200000107288361,0.7200000107288361
5118,2022-08-02,05:00:00,206,240,1.4400000214576723,5.039999914169312,1.4400000214576723,0.7200000107288361
5119,2022-08-02,06:00:00,206,238,1.4400000214576723,4.679999828338623,1.4400000214576723,1.0800000429153442
5120,2022-08-02,07:00:00,226,245,0.7200000107288361,5.039999914169312,1.0800000429153442,1.0800000429153442
5121,2022-08-02,08:00:00,202,236,2.1600000858306885,1.8,1.4400000214576723,0.7200000107288361
5122,2022-08-02,09:00:00,204,72,1.4400000214576723,1.0800000429153442,1.0800000429153442,1.0800000429153442
5123,2022-08-02,10:00:00,213,109,1.8,3.2399999141693114,1.8,1.0800000429153442
5124,2022-08-02,11:00:00,207,81,2.1600000858306885,7.559999656677246,1.8,1.4400000214576723
5125,2022-08-02,12:00:00,207,75,1.4400000214576723,11.879999828338624,1.4400000214576723,2.1600000858306885
5126,2022-08-02,13:00:00,218,75,1.4400000214576723,12.6,1.4400000214576723,2.1600000858306885
5127,2022-08-02,14:00:00,329,73,1.0800000429153442,12.240000343322754,1.0800000429153442,2.1600000858306885
5128,2022-08-02,15:00:00,36,69,3.2399999141693114,14.4,1.8,2.1600000858306885
5129,2022-08-02,16:00:00,61,83,3.6,11.879999828338624,2.519999957084656,2.1600000858306885
5130,2022-08-02,17:00:00,89,78,2.8800000429153445,9.359999656677246,1.8,1.4400000214576723
5131,2022-08-02,18:00:00,67,78,1.8,6.8399999141693115,1.0800000429153442,1.0800000429153442
5132,2022-08-02,19:00:00,38,88,1.0800000429153442,7.559999656677246,1.0800000429153442,1.0800000429153442
5133,2022-08-02,20:00:00,23,102,1.4400000214576723,6.8399999141693115,0.7200000107288361,0.7200000107288361
5134,2022-08-02,21:00:00,15,109,0.7200000107288361,8.640000343322754,0.7200000107288361,1.0800000429153442
5135,2022-08-02,22:00:00,207,120,0.7200000107288361,9.359999656677246,0.7200000107288361,1.4400000214576723
5136,2022-08-02,23:00:00,206,113,1.0800000429153442,9,0.7200000107288361,1.4400000214576723
